Old name,New name,Old code,Updated code
Powys,Powys,W06000007,W06000023
Merthyr Tydfil,Merthyr Tydfil,W06000017,W06000024
Bedford,Bedford,E07000002,E06000055
Mid Bedfordshire,Central Bedfordshire,E07000001,E06000056
South Bedfordshire,Central Bedfordshire,E07000003,E06000056
Chester,Cheshire West and Chester,E07000013,E06000050
Ellesmere Port & Neston,Cheshire West and Chester,E07000016,E06000050
Vale Royal,Cheshire West and Chester,E07000018,E06000050
Congleton,Cheshire East,E07000014,E06000049
Crewe and Nantwich,Cheshire East,E07000015,E06000049
Macclesfield,Cheshire East,E07000017,E06000049
Caradon,Cornwall,E07000019,E06000052
Carrick,Cornwall,E07000020,E06000052
Kerrier,Cornwall,E07000021,E06000052
North Cornwall,Cornwall,E07000022,E06000052
Penwith,Cornwall,E07000023,E06000052
Restormel,Cornwall,E07000024,E06000052
Isles of Scilly,Isles of Scilly,E07000025,E06000053
Chester-le-Street,County Durham,E07000054,E06000047
Derwentside,County Durham,E07000055,E06000047
Durham,County Durham,E07000056,E06000047
Easington,County Durham,E07000057,E06000047
Sedgefield,County Durham,E07000058,E06000047
Teesdale,County Durham,E07000059,E06000047
Wear Valley,County Durham,E07000060,E06000047
Alnwick,Northumberland,E07000157,E06000048
Berwick-upon-Tweed,Northumberland,E07000158,E06000048
Blyth Valley,Northumberland,E07000159,E06000048
Castle Morpeth,Northumberland,E07000160,E06000048
Tynedale,Northumberland,E07000161,E06000048
Wansbeck,Northumberland,E07000162,E06000048
Bridgnorth,Shropshire,E07000182,E06000051
North Shropshire,Shropshire,E07000183,E06000051
Oswestry,Shropshire,E07000184,E06000051
Shrewsbury and Atcham,Shropshire,E07000185,E06000051
South Shropshire,Shropshire,E07000186,E06000051
Kennet,Wiltshire,E07000230,E06000054
North Wiltshire,Wiltshire,E07000231,E06000054
Salisbury,Wiltshire,E07000232,E06000054
West Wiltshire,Wiltshire,E07000233,E06000054
St Albans,St Albans,E07000100,E07000240
Welwyn Hatfield,Welwyn Hatfield,E07000104,E07000241
Gateshead,Gateshead,E08000020,E08000037
Northumberland,Northumberland,E06000048,E06000057
East Hertfordshire,East Hertfordshire,E07000097,E07000242
Stevenage,Stevenage,E07000101,E07000243
Fife,Fife,S12000015,S12000047
Perth and Kinross,Perth and Kinross,S12000024,S12000048
Shepway,Folkestone and Hythe,E07000112,E07000112
Bournemouth,"Bournemouth, Christchurch and Poole",E06000028,E06000058
Christchurch,"Bournemouth, Christchurch and Poole",E07000048,E06000058
Poole,"Bournemouth, Christchurch and Poole",E06000029,E06000058
Weymouth and Portland,Dorset,E07000053,E06000059
West Dorset,Dorset,E07000052,E06000059
North Dorset,Dorset,E07000050,E06000059
Purbeck,Dorset,E07000051,E06000059
East Dorset,Dorset,E07000049,E06000059
West Somerset,Somerset West and Taunton,E07000191,E07000246
Taunton Deane,Somerset West and Taunton,E07000190,E07000246
Suffolk Coastal,East Suffolk,E07000205,E07000244
Waveney,East Suffolk,E07000206,E07000244
Forest Heath,West Suffolk,E07000201,E07000245
St Edmundsbury,West Suffolk,E07000204,E07000245
Glasgow City,Glasgow City,S12000046,S12000049
North Lanarkshire,North Lanarkshire,S12000044,S12000050
Aylesbury Vale,Buckinghamshire ,E07000004,E06000060
Chiltern,Buckinghamshire ,E07000005,E06000060
South Bucks,Buckinghamshire ,E07000006,E06000060
Wycombe,Buckinghamshire ,E07000007,E06000060
Corby,North Northamptonshire,E07000150,E06000061
Daventry,West Northamptonshire,E07000151,E06000062
East Northamptonshire,North Northamptonshire,E07000152,E06000061
Kettering,North Northamptonshire,E07000153,E06000061
Northampton,West Northamptonshire,E07000154,E06000062
South Northamptonshire,West Northamptonshire,E07000155,E06000062
Wellingborough,North Northamptonshire,E07000156,E06000061